X	Y	Z	P	R	Ya
329	329	0	0	0	0
330	330	0	0	0	0
0	331	0	0	0	0
0	332	0	0	0	0
0	333	0	0	0	0
0	334	0	0	0	0
0	335	0	0	0	0
0	336	0	0	0	0
0	337	0	0	0	0
0	338	0	0	0	0
0	339	0	0	0	0
0	340	0	0	0	0
0	341	0	0	0	0
0	342	0	0	0	0
0	343	0	0	0	0
0	344	0	0	0	0
0	345	0	0	0	0
0	346	0	0	0	0
0	347	0	0	0	0
0	348	0	0	0	0
0	349	0	0	0	0
0	350	0	0	0	0
0	351	0	0	0	0
0	352	0	0	0	0
0	353	0	0	0	0
0	354	0	0	0	0
0	355	0	0	0	0
0	356	0	0	0	0
0	357	0	0	0	0
0	358	0	0	0	0
0	359	0	0	0	0
0	360	0	0	0	0
0	361	0	0	0	0
0	362	0	0	0	0
0	363	0	0	0	0
0	364	0	0	0	0
0	365	0	0	0	0
0	366	0	0	0	0
0	367	0	0	0	0
0	368	0	0	0	0
0	369	0	0	0	0
0	370	0	0	0	0
0	371	0	0	0	0
0	372	0	0	0	0
0	373	0	0	0	0
0	374	0	0	0	0
0	375	0	0	0	0
0	376	0	0	0	0
0	377	0	0	0	0
0	378	0	0	0	0
0	379	379	0	0	0
0	380	380	0	0	0
0	381	381	0	0	0
0	382	382	0	0	0
0	383	383	0	0	383
0	384	384	384	0	384
0	385	385	385	385	385
0	386	386	386	386	386
0	387	387	387	387	387
388	388	388	388	388	388
389	389	389	389	389	389
390	390	390	390	390	390
391	391	391	391	391	391
392	392	392	392	392	392
393	393	393	393	393	393
394	394	394	394	394	394
395	395	395	395	395	395
396	396	396	396	396	396
397	397	397	397	397	397
398	398	398	398	398	398
399	399	399	399	399	399
400	400	400	400	400	400
401	401	401	401	401	401
402	402	402	402	402	402
403	403	403	403	403	403
404	404	404	404	404	404
405	405	405	405	405	405
406	0	406	406	406	406
407	0	407	0	407	407
408	0	408	0	408	408
409	0	409	0	409	409
410	0	410	0	0	410
411	0	0	0	0	411
412	0	0	0	0	412
413	0	0	0	0	413
414	0	0	0	0	414
415	0	0	0	0	415
416	0	0	0	0	416
417	0	0	0	0	417
418	0	0	0	0	418
419	0	0	0	0	419
420	0	0	0	0	420
421	0	0	0	0	421
422	0	0	0	0	422
423	0	0	0	0	423
424	0	0	0	0	424
425	0	0	0	0	425
426	0	0	0	0	426
427	0	0	0	0	427
428	0	0	0	0	428
429	0	0	0	0	429
430	0	0	0	0	430
431	0	0	0	0	431
432	0	0	0	0	432
433	0	0	0	0	433
434	0	0	0	0	434
435	0	0	0	0	435
436	0	0	0	0	436
437	0	0	0	0	437
438	0	0	0	0	438
439	0	0	0	0	439
440	0	0	0	0	0
441	0	0	0	0	0
442	0	0	0	0	0
443	0	0	0	0	0
444	0	0	0	0	0
445	0	0	0	0	0
446	0	0	0	0	0
447	0	0	0	0	0
448	0	0	0	0	0
449	0	0	0	0	0
450	0	0	0	0	0
451	0	0	451	0	0
452	0	0	452	0	0
453	0	0	453	0	0
454	0	0	454	0	0
455	0	0	455	0	0
456	0	0	456	0	0
457	0	0	457	0	0
458	0	0	458	0	0
459	0	0	459	0	0
460	0	0	460	0	0
461	0	0	461	0	0
462	0	0	462	0	462
463	0	0	463	463	463
464	0	0	464	464	464
465	0	0	465	465	465
466	0	0	466	466	466
467	0	0	467	467	467
468	0	0	468	468	468
469	0	0	469	469	469
470	0	0	470	470	470
471	0	0	471	471	471
472	0	0	472	472	472
473	0	0	473	473	473
474	0	0	474	474	474
475	0	0	475	475	475
476	0	0	476	476	476
477	0	0	477	477	477
478	0	0	478	478	478
479	0	0	479	479	479
480	0	0	480	480	480
481	0	0	481	481	481
482	0	0	482	482	482
483	0	0	483	483	483
484	0	0	484	484	484
485	0	0	485	485	485
486	0	0	486	486	486
487	0	0	487	487	487
488	0	0	488	488	488
489	0	0	489	489	489
490	0	0	490	490	490
491	0	0	0	491	491
492	0	0	0	492	492
493	0	0	0	493	493
494	0	0	0	494	494
495	0	0	0	495	495
496	0	0	0	496	0
497	0	0	0	0	0
498	0	0	0	0	0
499	0	0	0	0	0
500	0	0	0	0	0
501	0	0	0	0	0
502	0	0	0	0	0
503	0	0	0	0	0
504	0	0	0	0	0
505	0	0	0	0	0
506	0	0	0	0	0
507	0	0	0	0	0
508	0	0	0	0	0
509	0	0	0	0	0
510	0	0	0	0	0
511	0	0	0	0	0
512	0	0	0	0	0
513	0	0	0	0	0
514	0	0	0	0	0
515	0	0	0	0	0
516	0	0	0	0	0
517	0	0	0	0	0
518	0	0	0	0	0
519	0	0	0	0	0
520	0	0	0	0	0
521	0	0	0	0	0
522	0	0	0	0	0
523	0	0	0	0	0
524	0	0	0	0	0
525	0	0	0	0	0
526	0	0	0	0	0
527	0	0	0	0	0
528	0	0	0	0	0
529	0	0	0	0	0
530	0	0	0	0	0
531	0	0	0	0	0
532	0	0	0	0	0
533	0	0	0	0	0
534	0	0	0	0	0
535	0	0	0	0	0
536	0	0	0	0	0
537	0	0	0	0	0
538	0	0	0	0	0
539	0	0	0	0	0
540	0	0	0	0	0
541	0	0	0	0	0
542	0	0	0	0	0
543	0	0	0	0	0
544	0	0	0	0	0
545	0	0	0	0	0
546	0	0	0	0	0
547	0	0	0	0	0
548	0	0	0	0	0
549	0	0	0	0	0
550	0	0	0	0	0
551	0	0	0	0	0
552	0	0	0	0	0
553	0	0	0	0	0
554	0	0	0	0	0
555	0	0	0	0	0
556	0	0	0	0	0
557	0	0	0	0	0
558	0	0	0	0	0
559	0	0	0	0	0
560	0	0	0	0	0
561	0	0	0	0	0
562	0	0	0	0	0
563	0	0	0	0	0
564	0	0	0	0	0
565	0	0	0	0	0
566	0	0	0	0	0
567	0	0	0	0	0
568	0	0	0	0	0
569	0	0	0	0	0
570	0	0	0	0	0
571	0	0	0	0	0
572	0	0	0	0	0
573	0	0	0	0	0
574	0	0	0	0	0
575	0	0	0	0	0
576	0	0	0	0	0
577	0	0	0	0	0
578	0	0	0	0	0
579	0	0	0	0	0
580	0	0	0	0	0
581	0	0	0	0	0
582	0	0	0	0	0
583	0	0	0	0	0
584	0	0	0	0	0
585	0	0	0	0	0
586	0	0	0	0	0
587	0	0	0	0	0
588	0	0	0	0	0
589	0	0	0	0	0
590	0	0	0	0	0
591	0	0	0	0	0
592	0	0	0	0	0
593	0	0	0	0	0
594	0	0	0	0	0
595	0	0	0	0	0
596	0	0	0	0	0
597	0	0	0	0	0
598	0	0	0	0	0
599	0	0	0	0	0
600	0	0	0	0	0
601	0	0	0	0	0
602	0	0	0	0	0
603	0	0	0	0	0
604	0	0	0	0	0
605	0	0	0	0	0
606	0	0	0	0	0
607	0	0	0	0	0
608	0	0	0	0	0
609	0	0	0	0	0
610	0	0	0	0	0
611	0	0	0	0	0
612	0	0	0	0	0
613	0	0	0	0	0
614	0	0	0	0	0
615	0	0	0	0	0
616	0	0	0	0	0
617	0	0	0	0	0
618	0	0	0	0	0
619	0	0	0	0	0
620	0	0	0	0	0
621	0	0	0	0	621
622	0	0	0	0	622
623	0	0	0	0	623
624	0	0	0	0	624
625	0	0	0	0	625
626	0	0	0	0	626
627	0	0	0	0	627
628	0	0	0	0	628
629	0	0	0	0	629
630	0	0	0	0	630
631	0	0	0	0	631
632	0	0	0	0	632
633	0	0	0	0	633
634	0	0	0	0	634
635	0	0	0	0	635
636	0	0	0	0	636
637	0	0	0	0	637
638	0	0	0	0	638
639	0	0	0	0	639
640	0	0	0	0	640
641	0	0	0	0	641
642	0	0	0	0	642
643	0	0	0	0	643
644	0	0	0	0	644
645	0	0	0	0	645
646	0	0	0	0	646
647	0	0	0	0	647
648	0	0	0	0	648
649	0	0	0	0	649
650	0	0	0	0	650
651	0	0	0	0	651
652	0	0	0	0	652
0	0	0	0	0	653
0	0	0	0	0	654
0	0	0	0	0	655
0	0	0	0	0	656
0	0	0	0	0	657
0	0	0	0	0	658
0	0	0	0	0	659
0	0	0	0	0	660
0	0	0	0	0	661
0	0	0	0	0	662
0	0	0	0	0	663
0	0	0	0	0	664
0	0	0	0	0	665
0	0	0	0	0	666
0	0	0	0	0	667
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	741
0	0	0	0	0	742
0	0	0	0	0	743
0	0	0	0	0	744
0	0	0	0	0	745
0	0	0	0	0	746
0	0	0	0	0	747
0	0	0	0	0	748
0	0	0	0	0	749
0	0	0	0	0	750
0	0	0	0	0	751
0	0	0	0	0	752
0	0	0	0	0	753
0	0	0	0	0	754
0	0	0	0	0	755
0	0	0	0	0	756
0	0	0	0	0	757
0	0	0	0	0	758
0	0	0	0	0	759
0	0	0	0	0	760
0	0	0	0	0	761
0	0	0	0	0	762
0	0	0	0	0	763
0	0	0	0	0	764
0	0	0	0	0	765
0	0	0	0	0	766
0	0	0	0	0	767
0	0	0	0	0	768
0	0	0	0	0	769
0	0	0	0	0	770
0	0	0	0	0	771
0	0	0	0	0	772
0	0	0	0	0	773
0	0	0	0	0	774
0	0	0	0	0	775
0	0	0	0	0	776
0	0	0	0	0	777
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	854	0	0
0	0	0	855	0	0
0	0	0	856	0	0
0	857	0	857	0	0
0	858	0	858	0	0
0	859	0	859	0	0
0	860	0	860	0	0
0	861	861	861	0	861
0	862	862	862	0	862
0	863	863	863	0	863
0	864	864	864	0	864
0	865	865	865	0	865
0	866	866	866	0	866
0	867	867	867	0	867
0	868	868	868	868	868
0	869	869	869	869	869
0	870	870	870	870	870
0	871	871	871	871	871
0	872	872	872	872	872
0	873	873	873	873	873
0	874	874	874	874	874
0	875	875	875	875	875
0	876	876	876	876	876
0	877	877	877	877	877
0	878	878	878	878	878
0	879	879	879	879	879
0	880	880	880	880	880
0	881	881	881	881	881
0	882	882	882	882	882
0	883	883	883	883	883
0	884	884	884	884	884
0	885	885	885	885	885
0	886	886	886	886	886
0	887	887	887	887	887
0	888	888	888	888	888
0	889	889	889	889	889
0	890	890	890	890	890
0	891	891	891	891	891
0	892	892	892	892	892
0	893	893	893	0	0
0	894	894	894	0	0
0	895	895	895	0	0
0	896	896	896	0	0
0	897	897	897	0	0
0	898	898	0	0	0
0	899	899	0	0	0
0	900	900	0	0	0
0	901	901	0	0	0
0	902	902	0	0	0
0	903	903	0	0	0
0	904	904	0	0	0
0	905	905	0	0	0
0	906	906	0	0	0
0	907	907	0	0	0
0	908	908	0	0	0
0	909	909	0	0	0
0	910	910	0	0	0
0	911	911	0	0	0
0	912	912	0	0	0
0	913	913	0	0	0
0	914	914	0	0	0
0	915	915	0	0	0
0	916	916	0	0	0
0	917	917	0	0	0
0	918	918	0	0	0
0	919	919	0	0	0
0	920	920	0	0	0
0	921	921	0	0	0
0	922	922	0	0	0
0	923	923	0	0	0
0	924	924	0	0	0
0	925	925	0	0	0
0	926	926	0	0	0
0	927	927	0	0	0
0	928	928	0	0	0
0	929	929	0	0	0
0	930	930	0	0	0
0	931	931	0	0	0
0	932	932	0	0	0
0	933	933	0	0	0
0	934	934	0	0	0
0	935	935	0	0	0
0	936	936	0	0	0
0	937	937	0	0	0
0	938	938	0	0	0
0	939	939	0	0	0
0	940	940	0	0	0
0	941	941	0	0	0
0	942	942	0	0	0
0	943	943	0	0	0
0	944	944	0	0	0
0	945	945	0	0	0
0	946	946	0	0	0
0	947	947	0	0	0
0	948	948	0	0	0
0	949	949	0	0	0
0	950	950	0	0	0
0	951	951	0	0	0
0	952	952	0	0	0
0	953	953	0	0	0
0	954	954	0	0	0
0	955	955	955	0	0
0	956	956	956	0	0
0	957	957	957	0	0
0	958	958	958	0	0
0	959	959	959	0	0
0	960	960	960	0	0
0	961	961	961	0	0
0	962	962	962	0	0
0	963	963	963	0	0
0	964	964	964	0	0
0	965	965	965	0	0
0	966	966	966	0	0
0	967	967	967	0	0
0	968	968	968	0	0
0	969	969	969	0	0
0	970	970	970	0	0
0	971	971	971	0	0
0	972	972	972	0	0
0	973	973	973	0	0
0	974	974	974	0	0
0	975	975	975	0	0
0	976	976	976	0	0
0	977	977	977	0	0
0	978	978	978	0	0
0	979	979	979	0	0
0	980	980	980	0	0
0	981	981	981	0	0
0	982	982	982	0	0
0	983	983	983	0	0
0	984	984	984	0	0
0	985	985	985	0	0
0	986	986	986	0	0
0	987	987	987	0	0
0	988	988	988	0	0
0	989	0	989	0	0
0	990	0	990	0	0
0	991	0	991	0	0
0	992	0	992	0	0
0	993	0	993	0	0
0	0	0	994	0	0
0	0	0	995	0	0
0	0	0	996	0	0
0	0	0	997	0	0
0	0	0	998	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	1058	0
0	0	0	0	1059	0
0	0	0	0	1060	0
1061	0	0	0	1061	0
1062	0	0	0	1062	0
1063	0	0	0	1063	1063
1064	0	0	0	1064	1064
1065	0	1065	0	1065	1065
1066	0	1066	0	1066	1066
1067	0	1067	1067	1067	1067
1068	0	1068	1068	1068	1068
1069	0	1069	1069	1069	1069
1070	0	1070	1070	1070	1070
1071	0	1071	1071	1071	1071
1072	0	1072	1072	1072	1072
1073	0	1073	1073	1073	1073
1074	0	1074	1074	1074	1074
1075	0	1075	1075	1075	0
1076	0	1076	1076	1076	0
1077	0	1077	1077	1077	0
1078	0	1078	1078	1078	0
1079	0	1079	1079	1079	0
1080	0	1080	1080	1080	0
1081	0	1081	1081	1081	0
1082	0	1082	1082	1082	0
1083	0	1083	1083	1083	0
1084	0	1084	1084	1084	0
1085	0	1085	1085	1085	0
1086	0	1086	1086	1086	0
1087	0	1087	1087	1087	0
1088	0	1088	1088	1088	0
1089	0	1089	0	1089	0
1090	0	1090	0	1090	0
1091	0	1091	0	1091	0
1092	0	1092	0	1092	0
1093	0	1093	0	1093	0
1094	0	1094	0	1094	0
1095	0	1095	0	1095	0
1096	0	1096	0	1096	0
1097	0	1097	0	1097	0
1098	0	1098	0	1098	0
1099	0	1099	0	1099	0
1100	0	1100	0	0	0
1101	0	1101	0	0	0
1102	0	1102	0	0	0
1103	0	1103	0	0	0
1104	0	1104	0	0	0
1105	0	1105	0	0	0
1106	0	1106	0	0	0
1107	0	1107	0	0	0
1108	0	1108	0	0	0
1109	0	1109	0	0	0
1110	0	1110	0	0	0
1111	0	1111	0	0	0
1112	0	1112	0	0	0
1113	0	1113	0	0	0
1114	0	1114	0	0	0
1115	0	1115	0	0	0
1116	0	1116	0	0	0
1117	0	1117	0	0	0
1118	0	1118	0	0	0
1119	0	1119	0	0	0
1120	0	1120	0	0	0
1121	0	1121	0	0	0
1122	0	1122	0	0	0
1123	0	1123	0	0	0
1124	0	1124	0	0	0
1125	0	1125	0	0	0
1126	0	1126	0	0	0
1127	0	1127	0	0	0
1128	0	1128	0	0	0
1129	0	1129	0	0	0
1130	0	1130	0	0	0
1131	0	1131	0	0	0
1132	0	1132	0	0	0
1133	0	1133	0	0	0
1134	0	1134	0	0	0
1135	0	1135	0	0	0
1136	0	1136	0	0	0
1137	0	1137	0	0	0
1138	0	1138	0	0	0
1139	0	1139	0	0	0
1140	0	1140	0	0	0
1141	0	1141	0	0	0
1142	0	1142	0	0	0
1143	0	1143	0	0	0
